CookerStat, GenerateAssetRegistry=0.022940, Initialize=0.118330, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_658C0CD4491E7BE6231C5298CD09DA4B__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=518, Duration=4.816092, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AEF1B7E64EB48EC914F213BB72EBC58C__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=328, Duration=4.817605, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_43AB4CFA4AF04A5E0564F49E0257AD73__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=366, Duration=4.310187, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C246185642AA55558BCC73B0289F7705__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=366, Duration=4.332218, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FFD60B8D4C9FDEE59F585794452BD13A__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=347, Duration=4.679959, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_164618AC4F4906905F9AE89C5F9CD252__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=458, Duration=3.773186, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_19, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_69__063822C1B0CB81A4A7FD1515090DD4D350CD6095, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=127393, Duration=4.520278, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_15, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_EE__288F078D1A048B94893861BAE5BE10A22E577D5E, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=39365, Duration=6.080866, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_418CE12442C4FFE94DF0C0A14B8D55C__46A80342E8C4398C3F2929ED5B206A663E30ADB2, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=14190, Duration=4.331011, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_20, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_418CE12442C4FFE94__96874E8905ADB076D03A95D85458BB5797AAE060, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=2325, Duration=4.489787, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_17, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_59__B5A83F4C74B51892E8E018F579C91BB319763E2F, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=41709, Duration=6.223645, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A016FA34440922B2E56A94AC428F572__E0A397BEB60742A6B3042052E0BDDE7E766840BC, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=15310, Duration=6.125841, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_21, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_A016FA34440922B2E__2423FD19C3DC1E6480F0FA78F5AA599F0E5E31C6, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=2325, Duration=5.248651, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_18, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_FC__4CBB04A4F83F05ED92E89B2552E16218EA7743C3, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=41793, Duration=5.543865, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BB12BC9B43D696DEB1B145B65182EB2__651C8C784E1795087D605F7F74957C0C595B82F9, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=14984, Duration=4.449341, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_17, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_BB12BC9B43D696DEB__B6EC3AD62E5C00EEAF2183E046728C815AD8135A, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=2301, Duration=3.887888, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
