DDCTransactionIdE77800DB4E7290827F4446828ADB3A41_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__60C01A3D2DE5A93AFF7EF8C568AEB262FC04DA19, StartTime=2016.04.27-14.23.14, HierarchicalDDC=, DataSize=8455, Duration=0.029113, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdE77800DB4E7290827F4446828ADB3A41_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__581C558B12F92DA8D70F4F628DF65CDCF5AECBC8, StartTime=2016.04.27-14.23.14, HierarchicalDDC=, DataSize=3860, Duration=0.016470, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdD5F5CA61436F3ED86869CCA694099907_13, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E804_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.27-14.23.14, Duration=4.602194, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdE77800DB4E7290827F4446828ADB3A41_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E__A1D8A03E2549AA9BBB14D25D58C22DB5DF625B64, StartTime=2016.04.27-14.23.14, HierarchicalDDC=, DataSize=16647, Duration=0.024512, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdE77800DB4E7290827F4446828ADB3A41_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E__AFBD176B0024CACEDD89C5FD04DBA1FA2128794D, StartTime=2016.04.27-14.23.14, HierarchicalDDC=, DataSize=6309, Duration=0.018001, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdD5F5CA61436F3ED86869CCA694099907_14, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC4F2_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.27-14.23.14, Duration=47.253014, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdE77800DB4E7290827F4446828ADB3A41_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__75915B35B64D0748F43AA1CFEFA6A33478BFF803, StartTime=2016.04.27-14.23.14, HierarchicalDDC=, DataSize=65799, Duration=0.040218, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionId31A3D0094EFEB5732EA619B0D1D753BA_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__2A64CDF4F42A58D87EDA3946300B893AACC7FC54, StartTime=2016.04.27-14.23.14, HierarchicalDDC=, DataSize=16647, Duration=0.038303, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdE77800DB4E7290827F4446828ADB3A41_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__47F0ABDC498713ED6F98BFB13D1B509E584A2F29, StartTime=2016.04.27-14.23.14, HierarchicalDDC=, DataSize=6604, Duration=0.018004, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdD5F5CA61436F3ED86869CCA694099907_15, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA5_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.27-14.23.14, Duration=7.866818, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
